Date,Prev Close,Open,High,Low,Close,VWAP,Volume
2020-07-22,34.75,34.85,35.1,33.9,34.25,34.38,26175713
2020-07-23,34.25,34.1,34.7,34.05,34.3,34.34,18336453
2020-07-24,34.3,34.1,34.2,33.15,33.55,33.62,20995087
2020-07-27,33.55,33.65,33.65,32.25,32.3,32.74,22870440
2020-07-28,32.3,32.35,32.65,31.75,32.1,32.15,24367645
2020-07-29,32.1,32.1,33.55,32.1,32.75,32.95,28066086
2020-07-30,32.75,32.8,33.1,31.65,31.75,32.23,26798968
2020-07-31,31.75,31.9,32.15,31.25,31.95,31.7,30716405
2020-08-03,31.95,32.0,33.35,31.85,32.9,32.8,36462844
2020-08-04,32.9,32.85,32.9,32.05,32.5,32.39,21120940
2020-08-05,32.5,32.65,33.15,32.45,32.6,32.77,17788892
2020-08-06,32.6,32.6,32.9,32.25,32.35,32.57,21227163
2020-08-07,32.35,32.5,32.95,32.25,32.8,32.65,18260474
2020-08-10,32.8,33.0,33.3,32.7,32.85,33.01,18269325
2020-08-11,32.85,32.8,33.1,32.5,32.85,32.78,16076250
2020-08-12,32.85,33.0,34.7,33.0,33.8,34.01,60046564
2020-08-13,33.8,34.0,34.3,32.9,33.25,33.41,24298716
2020-08-14,33.25,33.5,33.5,31.95,32.25,32.63,27202906
2020-08-17,32.25,32.55,32.6,31.85,32.45,32.31,21850976
2020-08-18,32.45,32.55,33.0,32.2,32.85,32.55,25201494
2020-08-19,32.85,34.25,34.6,33.7,34.2,34.28,64987300
2020-08-20,34.2,34.0,35.25,33.6,35.1,34.76,45626715
2020-08-21,35.1,35.25,36.7,35.25,35.65,36.11,68761384
2020-08-24,35.65,36.45,36.6,34.9,35.3,35.5,38106707
2020-08-25,35.3,35.3,35.65,35.1,35.2,35.34,24156217
2020-08-26,35.2,35.65,35.7,35.2,35.4,35.4,18542873
2020-08-27,35.4,35.4,36.45,35.15,35.3,35.84,44760328
2020-08-28,35.3,35.5,37.4,35.5,37.05,36.57,85967317
2020-08-31,37.05,38.2,38.6,34.7,35.05,36.48,75996925
2020-09-01,35.05,35.2,35.75,33.8,34.7,34.62,42207372
2020-09-02,34.7,35.0,35.15,34.15,34.8,34.53,29200842
2020-09-03,34.8,34.9,35.05,34.4,34.5,34.63,13929151
2020-09-04,34.5,33.8,34.2,33.5,33.65,33.83,20523151
2020-09-07,33.65,33.85,34.05,33.5,33.8,33.75,16536530
2020-09-08,33.8,33.8,34.0,33.4,33.65,33.75,13245206
2020-09-09,33.65,33.0,33.3,32.55,32.9,32.85,14722717
2020-09-10,32.9,33.2,33.65,33.15,33.55,33.43,13593732
2020-09-11,33.55,33.3,33.85,33.3,33.7,33.54,11540834
2020-09-14,33.7,33.8,34.05,33.35,33.6,33.71,13826559
2020-09-15,33.6,33.95,33.95,33.0,33.3,33.33,23922967
2020-09-16,33.3,33.35,33.7,32.75,33.6,33.21,26127590
2020-09-17,33.6,33.25,33.55,33.0,33.25,33.24,14159617
2020-09-18,33.25,33.35,33.45,32.35,32.6,32.85,26475658
2020-09-21,32.6,32.55,32.6,30.4,30.65,31.48,28357674
2020-09-22,30.65,30.75,30.8,29.5,30.05,30.1,30887287
2020-09-23,30.05,30.5,30.5,28.9,29.35,29.61,37099973
2020-09-24,29.35,28.95,29.1,27.95,28.05,28.36,26290053
2020-09-25,28.05,28.25,29.25,27.65,29.05,28.29,31740097
2020-09-28,29.05,29.5,30.25,29.2,30.15,29.89,20887788
2020-09-29,30.15,30.2,30.4,28.7,29.1,29.23,30263189
2020-09-30,29.1,29.0,29.0,28.3,28.55,28.6,26593606
2020-10-01,28.55,27.8,29.0,27.7,28.0,28.16,62180749
2020-10-05,28.0,28.4,28.85,28.05,28.3,28.37,35375995
2020-10-06,28.3,28.45,28.6,28.1,28.35,28.36,25193586
2020-10-07,28.35,28.35,28.55,27.65,27.75,28.06,33248102
2020-10-08,27.75,28.05,28.7,27.75,27.8,28.15,31575258
2020-10-09,27.8,28.0,29.0,27.65,28.9,28.39,41074797
2020-10-12,28.9,29.3,29.75,28.25,28.45,28.87,33396304
2020-10-13,28.45,28.4,28.5,27.75,27.85,28.11,25016060
2020-10-14,27.85,27.8,28.35,27.5,28.15,27.88,32332343
2020-10-15,28.15,28.35,28.55,27.5,27.7,28.06,18354893
2020-10-16,27.7,27.8,27.95,27.35,27.45,27.59,17645876
2020-10-19,27.45,27.75,28.05,27.6,27.95,27.82,23518959
2020-10-20,27.95,27.9,27.9,27.25,27.35,27.5,19897438
2020-10-21,27.35,27.5,27.8,27.05,27.2,27.44,22430098
2020-10-22,27.2,27.2,27.4,27.15,27.2,27.26,11305057
2020-10-23,27.2,27.4,27.5,27.2,27.4,27.35,10791723
2020-10-26,27.4,27.55,28.25,27.45,28.0,27.97,32462108
2020-10-27,28.0,28.0,28.0,27.05,27.35,27.42,37298764
2020-10-28,27.35,27.45,27.65,26.95,27.1,27.29,29350727
2020-10-29,27.1,27.0,27.0,26.3,26.6,26.55,33996051
2020-10-30,26.6,26.8,27.2,26.5,26.75,26.78,25772625
2020-11-02,26.75,27.1,28.4,26.75,27.95,27.78,53642960
2020-11-03,27.95,28.05,28.35,27.3,27.8,27.63,72403902
2020-11-04,27.8,27.9,27.95,26.95,27.45,27.36,46812632
2020-11-05,27.45,27.7,28.15,27.4,27.7,27.7,34167763
2020-11-06,27.7,27.75,28.2,27.6,27.75,27.87,32382743
2020-11-09,27.75,27.95,28.9,27.85,28.6,28.41,48174136
2020-11-10,28.6,28.9,29.8,28.6,29.6,29.34,46493213
2020-11-11,29.6,29.8,30.3,28.85,29.25,29.48,49278768
2020-11-12,29.25,29.25,29.5,28.9,29.1,29.15,27200167
2020-11-13,29.1,29.15,29.55,28.35,29.5,28.98,33735974
2020-11-14,29.5,30.0,30.0,29.5,29.6,29.67,5257310
2020-11-17,29.6,29.6,30.2,29.4,29.85,29.77,30880948
2020-11-18,29.85,29.8,31.25,29.6,30.85,30.64,78369100
2020-11-19,30.85,30.85,30.85,29.75,30.0,30.46,29648439
2020-11-20,30.0,29.95,30.2,29.55,29.8,29.84,23624084
2020-11-23,29.8,29.95,30.15,29.75,30.05,29.95,21909692
2020-11-24,30.05,30.3,30.6,29.8,30.4,30.18,30470938
2020-11-25,30.4,30.65,32.6,30.55,31.35,31.68,99621016
2020-11-26,31.35,31.4,32.2,30.9,32.05,31.59,48077667
2020-11-27,32.05,32.15,34.15,32.05,33.45,33.13,71951138
2020-12-01,33.45,33.9,34.65,33.3,34.45,34.12,58487858
2020-12-02,34.45,34.55,35.05,33.5,33.95,34.39,77155079
2020-12-03,33.95,34.35,36.05,34.15,35.8,35.57,90403528
2020-12-04,35.8,36.25,36.7,34.75,35.65,35.69,120208081
2020-12-07,35.65,35.6,36.4,35.4,35.75,35.93,82840809
2020-12-08,35.75,36.0,41.1,35.9,40.6,38.35,227310533
2020-12-09,40.6,42.2,42.65,39.15,39.4,40.51,216961308
2020-12-10,39.4,39.4,39.4,38.1,38.4,38.55,63379052
2020-12-11,38.4,38.6,41.4,38.6,40.5,40.14,116536838
2020-12-14,40.5,41.0,41.5,40.7,41.25,41.16,52117435
2020-12-15,41.25,41.25,41.3,39.7,40.6,40.37,56929480
2020-12-16,40.6,39.6,39.6,37.25,37.95,38.11,214696891
2020-12-17,37.95,38.15,38.35,36.75,37.0,37.7,66872650
2020-12-18,37.0,37.15,37.15,35.65,36.55,36.32,63979156
2020-12-21,36.55,36.0,36.85,33.0,34.1,35.26,73372682
2020-12-22,34.1,33.85,34.75,31.7,33.4,32.87,118459132
2020-12-23,33.4,32.1,32.75,31.7,31.8,32.1,178237037
2020-12-24,31.8,32.2,32.6,31.4,31.45,32.03,111190598
2020-12-28,31.45,31.85,32.9,31.5,32.4,32.27,145990073
2020-12-29,32.4,32.9,34.15,32.8,33.2,33.37,160162623
2020-12-30,33.2,33.7,33.7,32.35,32.75,32.75,92597922
2020-12-31,32.75,32.8,33.35,32.4,33.05,32.94,189388220
2021-01-01,33.05,33.3,34.95,33.1,34.8,34.35,227528491
2021-01-04,34.8,35.4,35.75,34.25,35.55,35.06,213599078
2021-01-05,35.55,35.0,35.7,34.7,35.6,35.38,142225084
2021-01-06,35.6,35.8,36.4,34.75,35.2,35.72,202327890
2021-01-07,35.2,35.8,36.0,35.35,35.45,35.6,94883129
2021-01-08,35.45,35.65,35.9,35.1,35.4,35.53,80655853
2021-01-11,35.4,35.8,35.8,34.55,34.9,35.03,76603154
2021-01-12,34.9,34.7,36.95,34.3,36.5,35.77,183664727
2021-01-13,36.5,37.0,37.2,35.25,36.6,36.53,227452083
2021-01-14,36.6,36.75,37.8,36.4,37.0,37.13,184172283
2021-01-15,37.0,37.0,37.5,35.5,35.95,36.5,142841953
2021-01-18,35.95,36.0,36.55,35.1,35.45,35.68,113003034
2021-01-19,35.45,35.95,36.75,35.5,36.5,36.09,109008869
2021-01-20,36.5,36.75,37.3,36.3,36.95,36.77,132227405
2021-01-21,36.95,37.1,37.4,35.25,35.65,36.53,126279607
2021-01-22,35.65,35.8,36.05,34.2,34.55,34.96,133649890
2021-01-25,34.55,35.0,35.1,33.5,34.15,34.32,83484252
2021-01-27,34.15,34.1,34.25,33.05,33.35,33.7,69780206
2021-01-28,33.35,33.0,33.1,31.9,32.55,32.43,130283571
2021-01-29,32.55,33.0,34.4,32.5,33.35,33.14,125606644
2021-02-01,33.35,33.75,36.0,33.1,35.75,34.42,200145354
2021-02-02,35.75,36.1,36.85,35.55,36.2,36.2,199832087
2021-02-03,36.2,36.45,38.75,35.7,38.35,37.36,260980002
2021-02-04,38.35,38.5,41.0,38.0,40.5,39.61,384813812
